indx,BRANCH_NAME,CUSTOMER_CLASS,year,Amount,Accounts,BRANCH_NAME_En,CBU
96,صبيا,RES,2023,6351841.38,29805,Sabya,JZBU
97,صبيا,TANKER,2023,643922.68,12,Sabya,JZBU
98,ضمد,COM,2023,40020.27,78,Damad,JZBU
99,ضمد,GOVT,2023,800609.26,633,Damad,JZBU
100,ضمد,RES,2023,2794110.97,32223,Damad,JZBU
101,ظهران الجنوب,RES,2023,24725.00,1,DHAHRAN ALJANOUB,AS
102,فرسان,COM,2023,512929.63,286,Farasan,JZBU
103,فرسان,GOVT,2023,1334912.59,761,Farasan,JZBU
104,فرسان,RES,2023,1309848.94,15926,Farasan,JZBU
105,فرسان,TANKER,2023,590208.96,12,Farasan,JZBU
106,قلوه,COM,2023,51586.36,58,Qilwah,BA
107,قلوه,GOVT,2023,284057.31,1305,Qilwah,BA
108,قلوه,RES,2023,986480.63,11715,Qilwah,BA
109,محايل,COM,2023,18084.60,17,Mahayel,AS
110,محايل,GOVT,2023,16490.44,7,Mahayel,AS
111,محايل,RES,2023,389559.70,281,Mahayel,AS
112,محايل,TANKER,2023,414258.54,10,Mahayel,AS
113,مدينة سلطان,RES,2023,612166.66,335,Madinat Sultan,AS
114,نجران الفرع الرئيسي,COM,2023,682010.82,2910,Najran Main Branch,NJ
115,نجران الفرع الرئيسي,GOVT,2023,9662378.85,4294,Najran Main Branch,NJ
116,نجران الفرع الرئيسي,RES,2023,15447228.89,218748,Najran Main Branch,NJ
117,نجران الفرع الرئيسي,TANKER,2023,677737.58,5,Najran Main Branch,NJ
118,يدمه,GOVT,2023,398.21,31,Yadamah,NJ
119,يدمه,RES,2023,17921.09,227,Yadamah,NJ
120,يدمه,TANKER,2023,596560.31,9,Yadamah,NJ
0,أبها الفرع الرئيسي,COM,2024,3531685.38,1184,Abhaa Main Branch,AS
1,أبها الفرع الرئيسي,GOVT,2024,9351508.98,657,Abhaa Main Branch,AS
2,أبها الفرع الرئيسي,RES,2024,14977785.47,95053,Abhaa Main Branch,AS
3,أبها الفرع الرئيسي,TANKER,2024,57595789.83,314,Abhaa Main Branch,AS
4,أبو عريش,COM,2024,100290.87,334,Abu Arish,JZBU
5,أبو عريش,GOVT,2024,414950.56,133,Abu Arish,JZBU
6,أبو عريش,RES,2024,2496897.69,24728,Abu Arish,JZBU
7,أبو عريش,TANKER,2024,166141.30,5,Abu Arish,JZBU
8,أحد رفيدة,COM,2024,217568.66,334,Ahad Rafidah,AS
9,أحد رفيدة,GOVT,2024,419814.09,128,Ahad Rafidah,AS
10,أحد رفيدة,RES,2024,2503508.39,18050,Ahad Rafidah,AS
11,الباحة الفرع الرئيسي,COM,2024,309907.80,264,Bahaa Main Branch,BA
12,الباحة الفرع الرئيسي,GOVT,2024,8279305.26,394,Bahaa Main Branch,BA
13,الباحة الفرع الرئيسي,RES,2024,2144108.25,33752,Bahaa Main Branch,BA
14,الباحة الفرع الرئيسي,TANKER,2024,1020060.50,35,Bahaa Main Branch,BA
15,البرك,COM,2024,55835.86,53,Al Barak,AS
16,البرك,GOVT,2024,24661.99,29,Al Barak,AS
17,البرك,RES,2024,195839.69,1895,Al Barak,AS
18,الحجره,COM,2024,2457.96,8,Al Hajra,BA
19,الحجره,GOVT,2024,45438.61,49,Al Hajra,BA
20,الحجره,RES,2024,117244.02,944,Al Hajra,BA
21,الدرب,COM,2024,28440.48,130,Ad Darb,JZBU
