indx,BRANCH_NAME,CUSTOMER_CLASS,year, Amount ,Accounts,BRANCH_NAME_En,CBU
56,بلجرشي,GOVT,2023," 1,507,391 ",2484,Baljorashi,BA
57,بلجرشي,RES,2023," 6,125,074 ",88040,Baljorashi,BA
58,بلجرشي,TANKER,2023," 612,768 ",24,Baljorashi,BA
59,بيش,COM,2023," 83,454 ",43,Baish,JZBU
60,بيش,GOVT,2023," 2,465,681 ",1543,Baish,JZBU
61,بيش,RES,2023," 3,121,773 ",23731,Baish,JZBU
62,بيش,TANKER,2023," 438,396 ",11,Baish,JZBU
63,بيشة,COM,2023," 409,222 ",242,Bishah,AS
64,بيشة,GOVT,2023," 12,234,291 ",716,Bishah,AS
65,بيشة,RES,2023," 4,656,515 ",39022,Bishah,AS
66,بيشة,TANKER,2023," 576,811 ",9,Bishah,AS
67,تنومة,RES,2023," 37,442 ",20,TANOOMAH,AS
68,ثار,GOVT,2023," 39,138 ",129,Thar,NJ
69,ثار,RES,2023," 183,790 ",1344,Thar,NJ
70,ثار,TANKER,2023," 354,290 ",4,Thar,NJ
71,جازان - الرئيسي,COM,2023," 6,622,605 ",1815,Jazan - Main,JZBU
72,جازان - الرئيسي,GOVT,2023," 9,218,598 ",2403,Jazan - Main,JZBU
73,جازان - الرئيسي,RES,2023," 21,273,368 ",103098,Jazan - Main,JZBU
74,جازان - الرئيسي,TANKER,2023," 2,494,823 ",23,Jazan - Main,JZBU
75,حبونا,COM,2023," 5,008 ",45,Hubuna,NJ
76,حبونا,GOVT,2023," 95,977 ",358,Hubuna,NJ
77,حبونا,RES,2023," 1,406,778 ",16119,Hubuna,NJ
78,حبونا,TANKER,2023," 597,991 ",2,Hubuna,NJ
79,خباش,COM,2023," 1,071 ",44,Khubash,NJ
80,خباش,GOVT,2023," 15,962 ",51,Khubash,NJ
81,خباش,RES,2023," 115,969 ",3311,Khubash,NJ
82,خميس مشيط,COM,2023," 7,831,734 ",1858,Khamis Mushait,AS
83,خميس مشيط,GOVT,2023," 40,080,005 ",2177,Khamis Mushait,AS
84,خميس مشيط,RES,2023," 34,972,555 ",226569,Khamis Mushait,AS
85,رجال المع,RES,2023," 12,360 ",2,REJAL ALMA,AS
86,شروره,COM,2023," 83,620 ",398,Sharurah,NJ
87,شروره,GOVT,2023," 201,060 ",1192,Sharurah,NJ
88,شروره,RES,2023," 4,432,497 ",32496,Sharurah,NJ
89,شروره,TANKER,2023," 1,228,846 ",22,Sharurah,NJ
90,صامطة واحد المسارحة,COM,2023," 210,696 ",215,Samtah Ahad Al Masarihah,JZBU
91,صامطة واحد المسارحة,GOVT,2023," 3,765,749 ",1090,Samtah Ahad Al Masarihah,JZBU
92,صامطة واحد المسارحة,RES,2023," 11,287,879 ",87982,Samtah Ahad Al Masarihah,JZBU
93,صامطة واحد المسارحة,TANKER,2023," 264,383 ",11,Samtah Ahad Al Masarihah,JZBU
94,صبيا,COM,2023," 349,641 ",115,Sabya,JZBU
95,صبيا,GOVT,2023," 2,059,015 ",897,Sabya,JZBU
96,صبيا,RES,2023," 6,351,841 ",29805,Sabya,JZBU
97,صبيا,TANKER,2023," 643,923 ",12,Sabya,JZBU
98,ضمد,COM,2023," 40,020 ",78,Damad,JZBU
99,ضمد,GOVT,2023," 800,609 ",633,Damad,JZBU
100,ضمد,RES,2023," 2,794,111 ",32223,Damad,JZBU
101,ظهران الجنوب,RES,2023," 24,725 ",1,DHAHRAN ALJANOUB,AS
102,فرسان,COM,2023," 512,930 ",286,Farasan,JZBU
103,فرسان,GOVT,2023," 1,334,913 ",761,Farasan,JZBU
104,فرسان,RES,2023," 1,309,849 ",15926,Farasan,JZBU
105,فرسان,TANKER,2023," 590,209 ",12,Farasan,JZBU
106,قلوه,COM,2023," 51,586 ",58,Qilwah,BA
107,قلوه,GOVT,2023," 284,057 ",1305,Qilwah,BA
108,قلوه,RES,2023," 986,481 ",11715,Qilwah,BA
109,محايل,COM,2023," 18,085 ",17,Mahayel,AS
110,محايل,GOVT,2023," 16,490 ",7,Mahayel,AS
111,محايل,RES,2023," 389,560 ",281,Mahayel,AS
112,محايل,TANKER,2023," 414,259 ",10,Mahayel,AS
113,مدينة سلطان,RES,2023," 612,167 ",335,Madinat Sultan,AS
114,نجران الفرع الرئيسي,COM,2023," 682,011 ",2910,Najran Main Branch,NJ
115,نجران الفرع الرئيسي,GOVT,2023," 9,662,379 ",4294,Najran Main Branch,NJ
116,نجران الفرع الرئيسي,RES,2023," 15,447,229 ",218748,Najran Main Branch,NJ
